ID; ID_Sample;Muestra;Estacion;Fecha;SEXO;E. Reprod.;Peso_grs;Long_Cefal_mm;Long_Total;Mass_mg;X15N ;X13C ;X34S;%N;%C ;%S ;C/N
CO_1;CHIEM-C48;Musculo;Conanoxa;07-01-2023;3;;1,3;12,74;36,21;2,03;6,061725825;-26,85951397;5,937105661;12,83;39,96;1,157;3,114575214
CO_2;CHIEM-C49;Musculo;Conanoxa;07-01-2023;3;;1,39;12,79;38,27;2,1;5,844788369;-26,36703918;6,035344934;13,27;41,05;0,926;3,093443858
CO_3;CHIEM-C50;Musculo;Conanoxa;07-01-2023;3;;1,87;11,86;38,81;2,2;5,956006568;-26,05433233;6,073080885;13,22;40,83;1,043;3,088502269
CO_4;CHIEM-C51;Musculo;Conanoxa;07-01-2023;3;;2,53;16,59;46,34;2,01;5,677172884;-26,17697332;5,990306112;11,86;36,31;0,874;3,061551433
CO_5;CHIEM-C52;Musculo;Conanoxa;07-01-2023;3;;2,34;16,41;45,78;2,05;4,655071971;-25,70178885;7,163646176;12,39;38,6;0,889;3,115415658
CO_6;CHIEM-C53;Musculo;Conanoxa;07-01-2023;3;;4,13;21,58;51,11;2,09;5,356660522;-26,04542827;6,234880368;11,7;36,36;0,862;3,107692308
CO_7;CHIEM-C54;Musculo;Conanoxa;07-01-2023;2;S/H;13,55;30,2;79,22;2,07;;-28,10571568;5,925137604;53,69;169,38;1,493;3,154777426
CO_8;CHIEM-C55;Musculo;Conanoxa;07-01-2023;2;S/H;9,87;23,61;70,52;2,09;4,668538778;-26,49307714;5,814838911;12,79;38,73;1,048;3,02814699
CO_9;CHIEM-C56;Musculo;Conanoxa;07-01-2023;1;;27,61;38,56;97,76;2,05;4,832056713;-26,99838475;6,201806817;12,86;39,75;1,035;3,090979782
CO_10;CHIEM-C57;Musculo;Conanoxa;07-01-2023;2;S/H;7,58;29,95;68,03;2,08;4,430860603;-26,24232428;6,457187341;12,4;37,7;1,026;3,040322581
